date,OP,CP,HP,LP,DF,RD,TV,TC,TO
2017-03-13,1.12,1.12,1.12,1.12,0.03,1,88000,1,98560
2017-03-14,1.12,1.12,1.13,1.12,0.0,0,118000,3,132260
2017-03-15,1.05,1.07,1.07,1.04,-0.05,-1,35000,4,36900
2017-03-16,1.07,1.06,1.07,1.06,-0.01,-1,45000,4,47900
2017-03-20,1.05,1.05,1.05,1.05,-0.01,-1,20000,2,21000
2017-03-22,1.04,1.04,1.04,1.04,0.01,1,30000,1,31200
2017-03-24,1.0,1.0,1.0,1.0,-0.02,-1,40000,1,40000
2017-04-05,1.02,1.02,1.02,1.02,0.02,1,131000,2,133620
2017-04-06,1.02,1.01,1.02,1.01,-0.01,-1,131000,2,133170
2017-04-10,1.02,1.02,1.02,1.02,-0.01,-1,10000,1,10200
2017-04-11,0.99,0.99,0.99,0.99,-0.03,-1,1000,1,990
2017-04-12,1.03,0.97,1.03,0.97,-0.02,-1,561000,5,577770
2017-04-13,0.99,0.98,0.99,0.97,0.01,1,545000,8,536300
2017-04-14,1.0,1.02,1.02,1.0,0.04,1,428000,8,432100
2017-04-17,1.03,1.06,1.09,1.01,0.04,1,1492000,28,1567770
2017-04-18,1.02,1.01,1.03,1.01,-0.05,-1,1743000,29,1786730
2017-04-19,1.0,1.0,1.02,1.0,-0.01,-1,621000,10,627350
2017-04-20,1.0,0.99,1.0,0.99,-0.01,-1,445000,10,442350
2017-04-21,0.95,0.97,0.97,0.95,-0.02,-1,226000,8,218310
2017-04-24,0.98,0.99,0.99,0.98,0.02,1,106000,3,104930
2017-04-25,0.96,0.96,0.96,0.96,-0.03,-1,20000,1,19200
2017-04-26,0.95,0.95,0.95,0.95,-0.01,-1,10000,1,9500
2017-04-27,0.95,0.95,0.95,0.95,0.0,0,250000,5,237500
2017-04-28,0.86,0.91,0.91,0.84,-0.04,-1,2064000,24,1804730
2017-05-02,0.9,0.89,0.92,0.89,-0.02,-1,156000,4,142880
2017-05-03,0.89,0.82,0.89,0.81,-0.07,-1,401000,14,329790
2017-05-04,0.78,0.8,0.8,0.78,-0.02,-1,325000,11,255220
2017-05-05,0.82,0.82,0.82,0.82,0.02,1,250000,4,205000
2017-05-08,0.81,0.79,0.81,0.77,-0.03,-1,258000,11,203900
2017-05-09,0.84,0.85,0.86,0.84,0.06,1,1014000,6,859030
2017-05-10,0.84,0.8,0.84,0.8,-0.05,-1,701000,10,582510
2017-05-11,0.77,0.79,0.79,0.74,-0.01,-1,707000,7,553490
2017-05-12,0.8,0.79,0.8,0.78,0.0,0,730000,12,577900
2017-05-15,0.79,0.79,0.79,0.79,0.0,0,81000,2,63990
2017-05-16,0.83,0.83,0.83,0.83,0.04,1,387000,6,321210
2017-05-17,0.81,0.82,0.83,0.8,-0.01,-1,516000,12,419340
2017-05-18,0.84,0.85,0.85,0.84,0.03,1,302000,4,253700
2017-05-19,0.81,0.78,0.81,0.77,-0.07,-1,450000,11,362540
2017-05-22,0.75,0.76,0.76,0.75,-0.02,-1,181000,5,136560
2017-05-23,0.72,0.74,0.74,0.71,-0.02,-1,370000,6,269700
2017-05-24,0.71,0.72,0.72,0.69,-0.02,-1,95000,7,67100
2017-05-25,0.7,0.72,0.72,0.7,0.0,0,345000,6,242100
2017-05-26,0.73,0.73,0.73,0.73,0.01,1,300000,2,219000
2017-05-31,0.73,0.75,0.75,0.72,0.02,1,502000,11,370190
2017-06-01,0.73,0.73,0.73,0.73,-0.02,-1,91000,1,66430
2017-06-02,0.71,0.71,0.71,0.71,-0.02,-1,10000,1,7100
2017-06-06,0.71,0.72,0.72,0.71,0.02,1,20000,3,14320
2017-06-09,0.73,0.77,0.77,0.73,0.03,1,790000,6,599700
2017-06-12,0.78,0.79,0.79,0.77,0.02,1,810000,8,628400
2017-06-14,0.79,0.8,0.8,0.79,0.01,1,11000,2,8790
2017-06-15,0.8,0.8,0.8,0.8,0.0,0,11000,2,8800
2017-06-16,0.79,0.8,0.8,0.79,0.0,0,310000,2,245000
2017-06-19,0.77,0.77,0.77,0.77,-0.03,-1,10000,1,7700
2017-06-20,0.76,0.76,0.76,0.76,-0.01,-1,230000,2,174800
2017-06-21,0.79,0.79,0.79,0.79,0.03,1,30000,1,23700
2017-06-23,0.79,0.79,0.79,0.79,0.0,0,5000,1,3950
2017-06-26,0.78,0.78,0.78,0.78,-0.01,-1,77000,1,60060
2017-06-27,0.79,0.96,0.96,0.79,0.18,1,2199000,24,1848710
2017-06-28,1.13,1.08,1.15,1.05,0.12,1,2596000,55,2892160
2017-06-29,1.05,1.08,1.08,1.02,0.0,0,645000,24,676910
2017-06-30,1.15,1.15,1.18,1.14,0.07,1,303000,10,348330
2017-07-03,1.1,1.16,1.16,1.1,0.01,1,591000,9,662380
2017-07-04,1.16,1.13,1.16,1.13,-0.03,-1,1021000,15,1176000
2017-07-05,1.09,1.12,1.17,1.09,-0.01,-1,788000,13,882610
2017-07-06,1.12,1.12,1.13,1.11,0.0,0,666000,13,744630
2017-07-07,1.11,1.16,1.16,1.11,0.04,1,594000,12,676140
2017-07-10,1.14,1.2,1.23,1.14,0.04,1,999000,18,1175420
2017-07-11,1.18,1.15,1.18,1.15,-0.05,-1,447000,9,524210
